反射光和折射光光强不同&&&&&&&
折射光(Lux) &831&1078&1756&2790&&&
电阻两端电压(V) &0.135&0.272&0.405&0.541&0.677&0.809&
&&&&&&&
反偏压(V) &6&&&&&&
光照强度(Lux) &497&1005&1499&2000&2500&3000&
电源电压(V) &6.138&6.264&6.409&6.537&6.679&6.811&
电阻两端电压(V) &0.135&0.273&0.4062&0.5440&0.6774&0.8110&
&&&&&&&
反偏压(V) &8&&&&&&
光照强度(Lux) &504&1000&1503&2000&2500&3000&
电源电压(V) &8.143&8.277&8.410&8.554&8.677&8.811&
电阻两端电压(V) &0.138&0.271&0.4088&0.5474&0.6804&0.8136&
&&&&&&&
测量光电三极管&&&&&&&
串联电阻实际阻值（千欧）&203.32&&&&&&
&&&&&&&
光照强度(Lux) &517&&&&&&
电源电压(V) &1.02&3.020&5.04&7.01&9.00&15.13&17.4
电阻两端电压(mV) &0.07&0.09&0.11&0.14&0.22&5.64&7.83
&&&&&&&
光照强度(Lux) &1002&&&&&&
电源电压(V) &1.01&3.03&5.05&7.06&12.8&15.08&17.06
电阻两端电压(mV) &0.13&0.16&0.20&0.26&2.61&5.58&7.55
&&&&&&&
光照强度(Lux) &1505&&&&&&
电源电压(V) &1.04&3.50&6.02&8.52&10.06&11.05&13.00
电阻两端电压(V) &0.19&0.25&0.34&0.51&1.17&1.54&3.53
&&&&&&&
光照强度(Lux) &2000&&&&&&
电源电压(V) &1.05&3.03&5.01&7.04&9.03&11.01&13.06
电阻两端电压(V) &0.05&0.07&0.08&0.12&0.19&1.58&3.59
&&&&&&&
反偏压(V) &2&&&&&&
光照强度(Lux) &505&1000&1505&2000&2500&3000&
电源电压(V) &2.02&2.03&2.04&2.06&2.07&2.09&
电阻两端电压(V) &0.02&0.03&0.04&0.06&0.07&0.09&
&&&&&&&
反偏压(V) &4&&&&&&
光照强度(Lux) &506&1005&1508&2000&2500&3000&
电源电压(V) &4.02&4.04&4.06&4.08&4.10&4.11&
电阻两端电压(V) &0.02&0.04&0.06&0.08&0.10&0.11&
&&&&&&&
反偏压(V) &6&&&&&&
光照强度(Lux) &506&1002&1498&2000&2500&3000&
电源电压(V) &6.03&6.05&6.08&6.10&6.13&6.15&
电阻两端电压(V) &0.03&0.05&0.08&0.10&0.13&0.15&
&&&&&&&
反偏压(V) &8&&&&&&
光照强度(Lux) &509&1001&1508&2000&2500&3000&
电源电压(V) &8.04&8.07&8.11&8.15&8.19&8.22&
电阻两端电压(V) &0.04&0.07&0.11&0.15&0.19&0.22&
&&&&&&&
硅光电池&&&&&&&
&&&&&&&
取样电阻阻值(欧姆) &100&&&&&&
光照度(Lux) &503&&&&&&
负载电阻(欧姆) &无穷&0&1000&2000&5100&7500&10000
光电压(mV) &329.4&1.06&10.50&20.27&49.73&72.16&96.63
&&&&&&&
取样电阻阻值(欧姆) &100&&&&&&
光照度(Lux) &1003&&&&&&
负载电阻(欧姆) &无穷&0&1000&2000&5100&7500&10000
光电压(mV) &362.5&1.89&20.38&39.32&96.03&138.18&181.21
&&&&&&&
取样电阻阻值(欧姆) &100&&&&&&
光照度(Lux) &1495&&&&&&
负载电阻(欧姆) &无穷&0&1000&2000&5100&7500&10000
光电压(mV) &379.9&2.84&30.56&58.97&143.3&201.99&253.54
&&&&&&&
取样电阻阻值(欧姆) &100&&&&&&
光照度(Lux) &2000&&&&&&
负载电阻(欧姆) &无穷&0&1000&2000&5100&7500&10000
光电压(mV) &391.7&3.79&41.07&79.26&189.56&257.23&304.8
&&&&&&&
取样电阻阻值(欧姆) &100&&&&&&
光照度(Lux) &2500&&&&&&
负载电阻(欧姆) &无穷&0&1000&2000&5100&7500&10000
光电压(mV) &400.1&4.74&51.35&99.03&231.20&298.90&336.0
&&&&&&&
取样电阻阻值(欧姆) &100&&&&&&
光照度(Lux) &3000&&&&&&
负载电阻(欧姆) &无穷&0&1000&2000&5100&7500&10000
光电压(mV) &406.10&5.81&61.53&118.16&267.14&327.60&355.5
